               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.024485,            0.074865,            0.003537,             0.88136,             0.85306,             0.91458,             0.76913,            0.020209,            0.067289,           0.0047916,            0.005149,            0.005149,            0.005149
                 149,            0.024194,            0.074255,            0.003446,             0.87509,             0.85876,             0.90252,             0.75312,            0.020482,            0.067222,           0.0054896,            0.005116,            0.005116,            0.005116
                 150,             0.02441,            0.074127,           0.0039399,             0.86407,             0.85941,             0.90279,             0.75438,            0.020075,            0.065771,           0.0055332,            0.005083,            0.005083,            0.005083
                 151,            0.024733,            0.074132,           0.0036676,             0.86865,             0.86133,             0.91575,             0.76846,            0.020352,            0.067795,           0.0047497,             0.00505,             0.00505,             0.00505
                 152,            0.024387,            0.073816,           0.0032914,               0.875,             0.86926,              0.9206,             0.77337,            0.020014,            0.065992,           0.0045503,            0.005017,            0.005017,            0.005017
                 153,            0.024429,            0.071387,           0.0032482,             0.86468,             0.86399,             0.91696,             0.77022,            0.020157,            0.066459,           0.0047409,            0.004984,            0.004984,            0.004984
                 154,            0.024181,            0.072504,           0.0033329,              0.8854,             0.85116,             0.91382,             0.76784,            0.020351,            0.067881,           0.0050884,            0.004951,            0.004951,            0.004951
                 155,            0.023644,            0.074463,           0.0032686,             0.88547,             0.85062,             0.91159,             0.76638,            0.020232,             0.06676,           0.0049862,            0.004918,            0.004918,            0.004918
                 156,            0.024091,            0.073117,           0.0031236,             0.87225,             0.85782,             0.90842,             0.76518,            0.020119,             0.06813,           0.0051608,            0.004885,            0.004885,            0.004885
                 157,            0.024114,            0.071765,           0.0031166,              0.8777,             0.85451,             0.90642,              0.7614,            0.020113,            0.066827,           0.0053034,            0.004852,            0.004852,            0.004852
                 158,            0.023365,            0.070792,           0.0031531,             0.86564,             0.86313,             0.90766,             0.76298,            0.020254,            0.066897,           0.0051622,            0.004819,            0.004819,            0.004819
                 159,             0.02404,            0.071227,           0.0031578,             0.84212,             0.85657,             0.88568,             0.74204,            0.020341,            0.067175,            0.006231,            0.004786,            0.004786,            0.004786
                 160,             0.02357,            0.071853,           0.0031613,             0.86205,             0.86561,             0.90532,             0.76398,            0.020178,            0.067644,           0.0051052,            0.004753,            0.004753,            0.004753
