               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.022154,            0.065458,           0.0025263,             0.88832,             0.85673,             0.91233,             0.79648,             0.01816,            0.064408,            0.005324,            0.006073,            0.006073,            0.006073
                 121,            0.021765,            0.062049,           0.0026307,             0.88502,             0.87184,             0.92111,             0.80054,            0.018046,            0.063515,           0.0046815,             0.00604,             0.00604,             0.00604
                 122,            0.021181,            0.061159,            0.002679,             0.87133,             0.87696,             0.91354,             0.79615,            0.017939,            0.063645,           0.0049878,            0.006007,            0.006007,            0.006007
                 123,            0.021612,            0.062993,           0.0025567,             0.88134,             0.86825,              0.9132,             0.80037,            0.017634,            0.061537,           0.0053142,            0.005974,            0.005974,            0.005974
                 124,            0.021486,            0.063385,           0.0028297,             0.88384,             0.87144,             0.91472,             0.80335,            0.017564,            0.061535,           0.0052752,            0.005941,            0.005941,            0.005941
                 125,            0.022138,            0.063459,           0.0024566,             0.88608,             0.86174,             0.91007,             0.79606,            0.018148,            0.063762,           0.0053986,            0.005908,            0.005908,            0.005908
                 126,            0.021512,            0.062515,           0.0027414,             0.88249,             0.86823,             0.91579,             0.80149,            0.017833,             0.06315,            0.005024,            0.005875,            0.005875,            0.005875
                 127,             0.02101,            0.058804,           0.0022491,             0.87619,             0.87157,             0.90933,             0.79448,            0.017845,             0.06321,           0.0053891,            0.005842,            0.005842,            0.005842
                 128,            0.020806,            0.057288,           0.0021672,             0.87846,             0.86949,             0.91238,             0.79351,            0.018144,            0.064177,           0.0050947,            0.005809,            0.005809,            0.005809
                 129,            0.020741,            0.058273,           0.0023738,             0.87326,             0.86321,             0.90784,             0.79588,            0.017768,             0.06288,           0.0057329,            0.005776,            0.005776,            0.005776
                 130,            0.021676,            0.062517,           0.0025698,             0.87398,             0.87573,             0.91469,             0.79684,            0.017802,            0.062012,            0.005379,            0.005743,            0.005743,            0.005743
                 131,            0.021462,            0.060803,           0.0025007,             0.85633,             0.87618,             0.90857,             0.79314,            0.017698,            0.062175,           0.0057405,             0.00571,             0.00571,             0.00571
                 132,             0.02081,            0.060449,           0.0025427,             0.88257,             0.85619,             0.90592,             0.79329,             0.01756,            0.061955,           0.0057514,            0.005677,            0.005677,            0.005677
                 133,             0.02134,            0.060055,           0.0021897,             0.88367,             0.85562,             0.90798,             0.79513,            0.017745,            0.064434,           0.0053586,            0.005644,            0.005644,            0.005644
                 134,             0.02131,            0.060707,           0.0023622,             0.87324,             0.87248,             0.90908,              0.7968,            0.017526,            0.061552,           0.0055085,            0.005611,            0.005611,            0.005611
                 135,            0.020961,            0.060634,           0.0025782,              0.8741,             0.86057,             0.91195,             0.79861,             0.01791,            0.063456,           0.0052647,            0.005578,            0.005578,            0.005578
                 136,            0.020815,            0.059392,           0.0023009,             0.86344,               0.867,             0.90309,             0.79234,            0.017633,            0.063128,           0.0057226,            0.005545,            0.005545,            0.005545
                 137,            0.021099,            0.059312,           0.0024326,             0.87016,             0.86315,             0.90935,              0.7973,            0.017751,            0.064079,           0.0055684,            0.005512,            0.005512,            0.005512
                 138,            0.020848,            0.062393,           0.0023946,             0.88229,             0.86019,             0.89874,             0.78905,            0.017755,            0.065375,           0.0057085,            0.005479,            0.005479,            0.005479
                 139,            0.020885,              0.0595,           0.0023525,             0.87173,             0.87271,             0.90754,             0.79529,            0.017722,            0.063604,           0.0055248,            0.005446,            0.005446,            0.005446
                 140,            0.020675,            0.058107,           0.0025063,             0.87865,             0.87247,             0.90864,             0.79302,            0.017801,            0.063303,           0.0054641,            0.005413,            0.005413,            0.005413
                 141,            0.020677,             0.05856,           0.0021831,             0.86809,             0.87921,             0.90918,             0.79882,            0.017627,            0.063484,           0.0053693,             0.00538,             0.00538,             0.00538
                 142,            0.021001,            0.060052,           0.0022392,             0.88881,             0.85003,             0.90559,              0.7959,            0.017762,            0.064842,           0.0055112,            0.005347,            0.005347,            0.005347
                 143,            0.020797,            0.059778,           0.0020156,             0.88336,             0.86046,             0.90221,             0.79271,            0.017549,            0.063323,           0.0057479,            0.005314,            0.005314,            0.005314
                 144,            0.020348,            0.058157,           0.0023742,             0.86947,             0.87414,              0.9059,             0.79569,             0.01752,            0.062805,           0.0055134,            0.005281,            0.005281,            0.005281
                 145,            0.020319,            0.058096,           0.0021785,             0.88272,             0.85922,             0.90929,             0.80009,            0.017584,            0.062541,           0.0054952,            0.005248,            0.005248,            0.005248
                 146,            0.019818,            0.056241,           0.0023341,              0.8863,             0.86755,             0.91463,             0.80302,            0.017556,             0.06337,           0.0050365,            0.005215,            0.005215,            0.005215
                 147,            0.020176,            0.057668,           0.0022963,             0.89101,             0.85887,             0.91042,             0.79824,            0.017614,             0.06404,            0.005265,            0.005182,            0.005182,            0.005182
                 148,            0.020597,            0.059382,           0.0021409,             0.88939,             0.87839,             0.91825,             0.80362,            0.017676,            0.063313,            0.004796,            0.005149,            0.005149,            0.005149
                 149,            0.020127,             0.05929,            0.002185,             0.87896,             0.86267,             0.91022,             0.80115,            0.017588,            0.063319,           0.0052855,            0.005116,            0.005116,            0.005116
                 150,             0.02042,            0.058491,           0.0023392,             0.88262,             0.87398,             0.90925,              0.8038,            0.017331,            0.062611,           0.0053603,            0.005083,            0.005083,            0.005083
                 151,            0.020711,            0.059035,           0.0021439,             0.87871,             0.87581,             0.91366,             0.80465,            0.017477,            0.062425,           0.0049646,             0.00505,             0.00505,             0.00505
                 152,             0.02018,            0.058294,           0.0020197,             0.86587,             0.88365,             0.91033,             0.80156,            0.017412,             0.06179,           0.0053295,            0.005017,            0.005017,            0.005017
                 153,            0.020211,            0.056044,           0.0019576,             0.88109,             0.86074,             0.90687,             0.79839,            0.017581,            0.063512,           0.0055494,            0.004984,            0.004984,            0.004984
                 154,            0.019952,            0.056933,           0.0020929,             0.87943,             0.87068,             0.91029,             0.80338,            0.017393,            0.063004,           0.0054686,            0.004951,            0.004951,            0.004951
                 155,            0.019786,            0.058511,           0.0020722,             0.88797,             0.86156,             0.90928,             0.80039,            0.017538,            0.064134,           0.0053817,            0.004918,            0.004918,            0.004918
                 156,            0.020249,             0.05831,           0.0022868,             0.89003,             0.85569,             0.90731,             0.79794,            0.017376,            0.063623,           0.0055122,            0.004885,            0.004885,            0.004885
                 157,            0.020049,            0.056653,           0.0018345,             0.88046,             0.85793,             0.90236,             0.79601,            0.017464,            0.062843,            0.005705,            0.004852,            0.004852,            0.004852
                 158,            0.019491,            0.056609,           0.0022376,             0.87878,             0.87348,             0.91352,             0.80851,            0.017314,            0.061972,           0.0053496,            0.004819,            0.004819,            0.004819
                 159,            0.019767,            0.057122,           0.0024474,             0.87325,             0.86525,              0.8993,             0.79229,            0.017325,            0.062549,           0.0061778,            0.004786,            0.004786,            0.004786
                 160,            0.019622,            0.056993,           0.0022552,             0.89168,             0.86056,             0.90848,             0.80087,            0.017151,            0.061826,           0.0057771,            0.004753,            0.004753,            0.004753
